TeamExp,ManagerExp,Length,Transactions,Entities,PointsAjust,Language,Effort
0.8,0.375,0.19999999999999998,0.15721649484536085,0.11515151515151514,0.09361702127659574,0.5,0.11528326745718048
0.8,1.0,0.48000000000000004,0.01288659793814434,1.0,0.4902127659574468,0.5,0.7134387351778656
0.4,0.25,0.32,1.0,0.12424242424242424,0.6842553191489361,0.0,0.37351778656126483
0.8,0.625,0.12,0.09793814432989692,0.09393939393939395,0.06978723404255319,0.0,0.16666666666666666
0.4,0.5,0.28,0.3969072164948454,0.2727272727272727,0.38978723404255317,0.5,0.27997364953886694
0.2,0.125,0.12,0.14690721649484537,0.2484848484848485,0.22127659574468084,0.0,0.20421607378129117
1.0,0.5,0.4,0.23453608247422678,0.5242424242424242,0.5089361702127659,0.0,0.9999999999999999
0.6000000000000001,0.375,0.07999999999999999,0.2216494845360825,0.1272727272727273,0.20085106382978724,1.0,0.0
0.4,0.25,0.16,0.09793814432989692,0.27878787878787875,0.13276595744680852,0.0,0.1758893280632411
0.4,0.25,0.36000000000000004,0.061855670103092786,0.14242424242424243,0.07489361702127659,0.0,0.14332768680594765
0.4,0.5,0.44,0.2371134020618557,0.2484848484848485,0.15829787234042553,0.5,0.28194993412384717
1.0,0.5,0.28,0.04381443298969073,0.1090909090909091,0.07829787234042554,0.0,0.23913043478260868
0.8,0.5,0.6,0.6752577319587629,0.41818181818181815,0.7846808510638298,0.5,0.6963109354413702
0.4,0.25,0.44,0.03865979381443299,0.3181818181818182,0.11404255319148937,0.5,0.24703557312252963
1.0,0.625,1.0,1.0,0.7090909090909091,0.9999999999999999,0.0,0.9999999999999999
0.4,0.375,0.48000000000000004,0.37628865979381443,0.13636363636363635,0.25872340425531914,0.0,0.30698287220026355
0.6000000000000001,0.5,0.24000000000000002,0.1958762886597938,0.19696969696969696,0.15999999999999998,0.0,0.22002635046113303
0.4,0.25,0.44,0.05412371134020619,0.26969696969696966,0.11574468085106382,0.0,0.1818181818181818
1.0,0.375,0.16,0.04639175257731959,0.08181818181818182,0.04085106382978723,0.0,0.017786561264822136
0.6000000000000001,0.625,0.5599999999999999,0.729381443298969,0.5363636363636364,0.7574468085106383,0.5,0.9999999999999999
1.0,0.25,0.52,0.11855670103092783,0.6757575757575758,0.4221276595744681,0.0,0.23649538866930173
0.6000000000000001,0.25,0.6799999999999999,0.365979381443299,0.3606060606060606,0.4187234042553192,0.0,0.5691699604743083
0.8,0.625,0.28,0.31443298969072164,0.16363636363636364,0.2621276595744681,0.0,0.3313570487483531
1.0,0.5,0.44,0.481958762886598,0.2,0.4,0.0,0.20223978919631094
0.2,0.125,0.16,0.41237113402061853,0.33939393939393936,0.4102127659574468,0.0,0.2990777338603426
1.0,0.625,0.52,0.07216494845360824,0.9363636363636363,0.4493617021276596,0.5,0.2621870882740448
0.4,0.625,0.12,0.3041237113402062,0.1575757575757576,0.20085106382978724,1.0,0.018445322793148873
0.8,0.25,0.44,0.3402061855670103,0.24545454545454545,0.3148936170212766,0.0,0.6778656126482213
0.6000000000000001,0.0,0.36000000000000004,0.4742268041237113,0.3121212121212121,0.4204255319148936,0.5,0.5770750988142292
0.6000000000000001,0.25,0.32,0.20360824742268044,0.10606060606060605,0.14127659574468085,0.5,0.18050065876152832
0.6000000000000001,0.625,0.4,0.6417525773195877,0.24545454545454545,0.49191489361702123,1.0,0.07378129117259552
1.0,0.75,1.0,1.0,0.6666666666666666,0.9923404255319149,0.5,0.7951251646903821
0.8,0.5,0.16,0.2061855670103093,0.3606060606060606,0.2297872340425532,0.5,0.2654808959156785
0.6000000000000001,0.375,0.32,0.5463917525773196,0.0,0.3046808510638298,0.0,0.3155467720685112
1.0,0.5,0.44,1.0,0.5121212121212121,0.9999999999999999,1.0,0.4920948616600791
0.8,0.375,0.28,0.20360824742268044,0.12424242424242424,0.15319148936170213,0.5,0.09090909090909091
0.8,0.25,0.52,0.27835051546391754,0.9606060606060606,0.7302127659574468,0.0,0.3412384716732543
0.6000000000000001,0.625,1.0,1.0,0.3787878787878788,0.9999999999999999,1.0,0.1600790513833992
0.6000000000000001,0.125,0.19999999999999998,0.07989690721649484,0.6909090909090909,0.42553191489361697,0.0,0.272068511198946
0.6000000000000001,0.5,0.28,0.17010309278350513,0.09696969696969697,0.06978723404255319,0.0,0.15810276679841895
0.4,0.625,0.28,0.12628865979381443,0.5848484848484848,0.37617021276595747,0.0,0.313570487483531
0.0,0.625,1.0,0.6288659793814433,0.6757575757575758,0.9004255319148936,0.0,0.9999999999999999
1.0,0.625,0.9199999999999999,0.9149484536082474,0.5636363636363636,0.9446808510638297,0.0,0.8346508563899868
0.4,0.625,0.28,0.21649484536082472,0.13636363636363635,0.13106382978723405,0.5,0.1949934123847167
0.6000000000000001,0.25,0.64,0.2731958762886598,0.3181818181818182,0.3557446808510638,0.0,0.7905138339920948
1.0,0.625,0.32,0.34536082474226804,0.21515151515151515,0.34893617021276596,1.0,0.1673254281949934
1.0,0.625,0.44,0.4871134020618557,0.49090909090909085,0.5991489361702128,1.0,0.07048748353096179
0.4,0.375,0.19999999999999998,0.018041237113402067,0.07575757575757576,0.0,0.5,0.08695652173913043
1.0,1.0,0.48000000000000004,0.07474226804123713,0.20303030303030303,0.08680851063829786,0.0,0.08959156785243741
0.8,0.625,0.36000000000000004,0.15721649484536085,0.15151515151515152,0.09361702127659574,0.5,0.04743083003952569
0.0,0.0,0.28,0.5670103092783505,0.4151515151515151,0.5072340425531915,0.0,0.49604743083003955
1.0,0.25,0.52,0.3479381443298969,0.8181818181818181,0.6791489361702128,0.0,0.3102766798418973
0.2,0.125,0.12,0.40463917525773196,0.3545454545454545,0.4306382978723404,0.0,0.46903820816864294
0.6000000000000001,0.5,0.64,0.46649484536082475,0.3454545454545454,0.4765957446808511,0.0,0.9999999999999999
0.6000000000000001,0.625,0.6799999999999999,0.12371134020618557,0.4939393939393939,0.32851063829787236,0.0,0.4262187088274045
1.0,0.625,0.0,0.0,0.1606060606060606,0.03574468085106383,0.0,0.014492753623188408
1.0,0.25,0.76,0.6804123711340206,0.21515151515151515,0.5702127659574469,0.0,0.9341238471673254
0.6000000000000001,0.5,0.9199999999999999,1.0,0.5303030303030303,0.9999999999999999,0.5,0.9999999999999999
0.2,0.0,0.84,0.2551546391752577,0.4121212121212121,0.31148936170212765,0.5,0.3096179183135705
1.0,0.625,0.44,0.7164948453608248,0.793939393939394,0.8834042553191489,0.5,0.9999999999999999
0.4,0.25,0.44,0.2216494845360825,0.303030303030303,0.24340425531914894,0.5,0.21409749670619235
0.6000000000000001,0.5,0.48000000000000004,0.2422680412371134,0.21212121212121213,0.17531914893617023,0.5,0.152832674571805
1.0,0.625,0.32,0.47164948453608246,0.3454545454545454,0.4391489361702128,0.0,0.4071146245059289
0.8,0.5,0.19999999999999998,0.11855670103092783,0.1272727272727273,0.1174468085106383,0.0,0.23386034255599472
