Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,Effort
0.49070631970260215,0.48,0.4371584699453552,0.3333333333333333,0.8888888888888886,0.4825710920734776,0.5194805194805194,0.4921849018955771
0.5353159851301115,0.28,0.4371584699453552,0.8888888888888888,0.2222222222222221,0.590393568416261,0.4216959511077158,0.3059527768540074
0.9999999999999999,0.86,1.0,0.9166666666666666,0.5555555555555556,1.0,1.0,0.9999999999999999
0.8029739776951672,0.56,0.0,0.2222222222222222,0.5555555555555556,0.4860103901483859,0.432172869147659,0.30063185899567685
0.08921933085501857,0.07,0.0,0.5555555555555555,0.0,0.18093405362703843,0.07333842627960277,0.25274359827070175
0.9368029739776952,0.15000000000000002,0.0,0.25,0.11111111111111116,0.33283156832473904,0.19993451926225037,0.28200864649151985
0.31226765799256506,0.29000000000000004,0.34972677595628415,0.2222222222222222,0.2222222222222221,0.290047470983933,0.19033067772563572,0.1862321250415697
0.31226765799256506,0.26,0.5245901639344263,0.16666666666666669,0.6666666666666667,0.2871862061989253,0.2732729455418531,0.4070502161622881
0.49070631970260215,0.48,0.4371584699453552,0.25,0.8888888888888886,0.4532551703873545,0.4889228418640183,0.5480545394080479
0.04460966542750927,0.5700000000000001,0.02185792349726776,0.16666666666666669,0.33333333333333326,0.27877582183087224,0.2025537487722362,0.7529098769537746
0.11895910780669144,0.03,0.13114754098360656,0.0,0.6666666666666667,0.0,0.0,0.0
0.2973977695167286,0.08000000000000002,0.5245901639344263,0.08333333333333333,0.7777777777777779,0.16774526072914078,0.17548837716904947,0.22347855004988365
0.26765799256505574,0.16000000000000003,0.08743169398907104,0.5277777777777777,0.6666666666666667,0.27617467202631973,0.26279602750190983,0.08247422680412372
0.07434944237918215,0.03,0.0,0.3333333333333333,0.4444444444444444,0.08107880279671772,0.053257666703044854,0.14898570003325576
0.1486988847583643,0.05000000000000002,0.32786885245901637,0.055555555555555566,0.7777777777777779,0.07052969525603262,0.0785768852995744,0.11706019288327238
0.5055762081784386,0.15000000000000002,0.6338797814207651,0.055555555555555566,0.7777777777777779,0.2658278761370998,0.2732729455418531,0.274027269704024
0.0,0.0,0.28415300546448086,0.1388888888888889,0.4444444444444444,0.029364091126948155,0.008730765033286042,0.09577652144995012
0.9219330855018587,1.0,0.45901639344262296,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999999
0.4014869888475836,0.020000000000000018,0.0,0.055555555555555566,0.11111111111111116,0.06428693572510663,0.005238459019971636,0.1995344196873961
